,Name,Body Style,Engine,Drive Type,Transmission,Ext. Color,Int. Color,Mileage (mi),Price ($)
154,2021 Toyota RAV4 XLE,4D Sport Utility,4 Cyl - 2.5 L,AWD,8-Speed Automatic,Lunar,Black,"37,589","36,995"
155,2019 Toyota Camry SE Nightshade,4D Sedan,4 Cyl - 2.5 L,FWD,8-Speed Automatic,Black,Black,"34,727","36,996"
156,2019 Toyota Tacoma TRD Off-Road 2WD Double Cab RWD,4D Double Cab,6 Cyl - 3.5 L,RWD,6-Speed Automatic,White,Gray,"41,260","37,388"
157,2021 Toyota RAV4 LE AWD,4D Sport Utility,4 Cyl - 2.5 L,AWD,8-Speed Automatic,Silver,Black,"12,175","37,988"
158,2019 Toyota Highlander XLE,4D Sport Utility,6 Cyl - 3.5 L,FWD,8-Speed Automatic Electronic with ECT-i,Silver,Black,"50,546","37,988"
159,2021 Toyota Camry XSE,4D Sedan,4 Cyl - 2.5 L,FWD,8-Speed Automatic,Silver,,"25,090","37,988"
160,2019 Toyota RAV4 XLE,4D Sport Utility,4 Cyl - 2.5 L,FWD,8-Speed Automatic,Blue Flame,Black,"9,633","37,995"
161,2019 Toyota Sienna LE 8 Passenger,4D Passenger Van,6 Cyl - 3.5 L,FWD,8-Speed Automatic,White,,"20,543","38,688"
162,2021 Toyota RAV4 XLE Premium,4D Sport Utility,4 Cyl - 2.5 L,FWD,8-Speed Automatic,Ruby Flare Pearl,Black,"22,236","38,688"
163,2019 Toyota Highlander SE,4D Sport Utility,6 Cyl - 3.5 L,FWD,8-Speed Automatic Electronic with ECT-i,Red,Black,"35,844","38,988"
164,2019 Toyota Avalon Hybrid XLE,4D Sedan,4 Cyl - 2.5 L,FWD,CVT,Black,,"45,848","38,995"
165,2021 Toyota RAV4 XLE,4D Sport Utility,4 Cyl - 2.5 L,AWD,8-Speed Automatic,Lunar,Black,"35,789","38,995"
166,2019 Toyota Camry Hybrid SE,4D Sedan,4 Cyl - 2.5 L,FWD,eCVT,White,Black,"24,226","38,995"
167,2022 Toyota Camry SE,4D Sedan,4 Cyl - 2.5 L,FWD,8-Speed Automatic,White,,"13,539","39,388"
168,2019 Toyota Sienna L 7 Passenger,4D Passenger Van,6 Cyl - 3.5 L,FWD,8-Speed Automatic,White,,"7,306","39,888"
169,2019 Toyota Tacoma TRD Sport 2WD RWD,4D Double Cab,6 Cyl - 3.5 L,RWD,6-Speed Automatic,White,Gray,"25,737","39,888"
170,2020 Toyota RAV4 XLE Premium,4D Sport Utility,4 Cyl - 2.5 L,FWD,8-Speed Automatic,Gray,,"29,444","39,988"
171,2021 Toyota Avalon XLE,4D Sedan,6 Cyl - 3.5 L,FWD,8-Speed Automatic,Red,Black,"34,042","39,995"
172,2022 Toyota Corolla Cross XLE,4D Sport Utility,4 Cyl - 2 L,AWD,CVT,White,,"1,692","39,995"
173,2019 Toyota Highlander XLE,4D Sport Utility,6 Cyl - 3.5 L,FWD,8-Speed Automatic Electronic with ECT-i,Silver,,"41,140","39,995"
174,2021 Toyota Camry Hybrid SE,4D Sedan,4 Cyl - 2.5 L,FWD,eCVT,Gray,,"24,112","39,995"
175,2019 Toyota RAV4 XLE Premium,4D Sport Utility,4 Cyl - 2.5 L,FWD,8-Speed Automatic,White,,"20,011","39,995"
176,2019 Toyota Tacoma TRD Off-Road 4WD,4D Double Cab,6 Cyl - 3.5 L,4WD,6-Speed,Silver,Gray,"44,206","40,388"
177,2020 Toyota Avalon Limited,4D Sedan,6 Cyl - 3.5 L,FWD,8-Speed Automatic,Gray,Tan,"22,670","40,888"
178,2019 Toyota Tacoma SR5 RWD,4D Double Cab,6 Cyl - 3.5 L,RWD,6-Speed Automatic,Silver,,"31,017","40,995"
179,2022 Toyota Camry SE,4D Sedan,4 Cyl - 2.5 L,FWD,8-Speed Automatic,White,,"18,959","40,995"
180,2018 Toyota Sienna SE 8 Passenger,4D Passenger Van,6 Cyl - 3.5 L,FWD,8-Speed Automatic,Red,,"45,930","40,995"
181,2022 Toyota Camry SE,4D Sedan,4 Cyl - 2.5 L,FWD,8-Speed Automatic,Silver,,"16,741","41,995"
182,2022 Toyota Camry SE,4D Sedan,4 Cyl - 2.5 L,FWD,8-Speed Automatic,Silver,,"16,111","41,995"
183,2021 Toyota Camry Hybrid XSE,4D Sedan,4 Cyl - 2.5 L,FWD,eCVT,Silver,,"24,769","41,995"
184,2021 Toyota Camry Hybrid XSE,4D Sedan,4 Cyl - 2.5 L,FWD,eCVT,Black,,"24,185","42,995"
185,2019 Toyota Tacoma TRD Off-Road 4WD,4D Double Cab,6 Cyl - 3.5 L,4WD,6-Speed,White,,"48,016","43,488"
186,2022 Toyota Highlander LE,4D Sport Utility,6 Cyl - 3.5 L,FWD,8-Speed Automatic,White,,"4,583","43,888"
187,2018 Toyota Tacoma TRD Sport 4WD,4D Double Cab,6 Cyl - 3.5 L,4WD,6-Speed,Gray,Black,"29,451","43,888"
188,2020 Toyota RAV4 XLE Premium,4D Sport Utility,4 Cyl - 2.5 L,AWD,8-Speed Automatic,White,,"5,635","43,995"
189,2019 Toyota Tacoma TRD Sport RWD,4D Double Cab,6 Cyl - 3.5 L,RWD,6-Speed Automatic,Silver,Gray,"42,708","43,995"
190,2021 Toyota Tundra SR5 RWD,4D Double Cab,8 Cyl - 5.7 L,RWD,6-Speed Automatic Electronic with Overdrive,Black,Black,"27,997","43,995"
191,2021 Toyota Tacoma SR5 RWD,4D Double Cab,4 Cyl - 2.7 L,RWD,6-Speed Automatic,Gray,Gray,"17,662","44,995"
192,2020 Toyota Tacoma TRD Sport 4WD,4D Double Cab,6 Cyl - 3.5 L,4WD,6-Speed,Red,Gray,"12,037","45,088"
193,2019 Toyota Tacoma TRD Sport 4WD,4D Double Cab,6 Cyl - 3.5 L,4WD,6-Speed Automatic,Silver,Gray,"15,945","45,488"
